@relation 'activity_recognition'

@attribute CentroidAccX numeric
@attribute CentroidAccY numeric
@attribute CentroidAccZ numeric
@attribute class {sitting,standing,walking,stairs_down,stairs_up}

@data
-0.4226,-0.2493,9.9331,sitting
-0.626,-0.3259,9.8996,sitting
-0.4178,-0.3283,9.969,sitting
-0.4298,-0.2493,10.0192,sitting
-0.5398,-0.1943,9.8398,sitting
-0.6595,-0.4264,9.8757,sitting
-0.4106,0.0211,9.8087,sitting
-0.413,-0.235,9.8829,sitting
-0.4465,-0.2158,9.8996,sitting
-0.5542,-0.2445,9.9259,sitting
-0.4441,-0.2421,9.8924,sitting
-0.4968,-0.223,9.902,sitting
-0.4537,-0.2254,9.89,sitting
-0.4513,-0.2374,9.902,sitting
-0.4848,-0.2302,9.8948,sitting
-0.4178,-0.3713,9.8493,sitting
-0.4609,-0.1943,9.9187,sitting
-0.5279,-0.1584,9.8757,sitting
-0.4657,-0.0316,9.9522,sitting
-0.4154,-0.3546,9.9044,sitting
-0.4465,-0.278,9.9068,sitting
-0.4178,-0.2326,9.914,sitting
-0.4298,-0.2086,9.89,sitting
-0.3556,-0.2062,9.9116,sitting
-0.4298,-0.223,9.8972,sitting
-0.6068,-0.0675,9.9116,sitting
-0.3077,-0.3833,9.914,sitting
-0.5925,-0.2038,10.091,sitting
-0.681,-0.0579,9.8829,sitting
-0.669,-0.156,9.8685,sitting
-0.2264,-0.2397,9.8685,sitting
-0.3604,-0.0842,9.8709,sitting
-0.2527,-0.2134,9.8805,sitting
-0.0876,-0.3283,9.89,sitting
-0.4561,-0.2493,9.8637,sitting
-0.3364,-0.3402,9.8757,sitting
-0.4441,-0.2062,9.902,sitting
-0.4034,-0.2038,9.8852,sitting
-0.3556,-0.1991,9.8972,sitting
-0.3891,-0.168,9.8876,sitting
-0.358,-0.2038,9.902,sitting
-0.3723,-0.2015,9.9116,sitting
-0.3771,-0.1225,9.8924,sitting
-0.3676,-0.2924,9.8733,sitting
-0.4226,-0.1703,9.8948,sitting
-0.3364,-0.2708,9.8948,sitting
-0.3508,-0.1703,9.8948,sitting
-0.1953,-0.2732,9.9379,sitting
-0.4465,-0.2302,9.9211,sitting
-0.3771,-0.2637,9.9235,sitting
-0.3364,-0.2254,9.8996,sitting
-0.4513,-0.1895,9.8972,sitting
-0.3388,-0.2278,9.9187,sitting
-0.401,-0.1967,9.9259,sitting
-0.4537,-0.2206,9.9068,sitting
-0.3053,-0.1632,9.8876,sitting
-0.413,-0.2421,9.8852,sitting
-0.3628,-0.1727,9.8876,sitting
-0.3604,-0.2182,9.8972,sitting
-0.3699,-0.2254,9.9116,sitting
-0.3963,-0.223,9.9044,sitting
-0.346,-0.2302,9.9044,sitting
-0.3795,-0.1967,9.8924,sitting
-0.3676,-0.1608,9.8924,sitting
-0.4369,-0.211,9.8948,sitting
